objects,fps
100,3707
200,3884
500,3305
1000,2245
2000,1459
5000,676
10000,368
20000,190
50000,78
objects,fps
100,241
200,0
500,0
1000,0
2000,0
5000,0
10000,0
20000,0
50000,0
